AUS,australia (AUS),1049,23,FW,Craig Goodwin,16/12/1991,30,10,1, Adelaide United,A League,Australia
AUS,australia (AUS),1050,24,DF,Joel King,30/10/2000,22,4,0, OB,Superliga,Denmark
AUS,australia (AUS),1051,25,FW,Jason Cummings,01/08/1995,27,1,1, Central Coast Mariners,A League,Australia
AUS,australia (AUS),1052,26,MF,Keanu Baccus,07/06/1998,24,1,0, St Mirren,Premiership,Scotland
BEL,belgium (BEL),1053,1,GK,Thibaut Courtois,11/05/1992,30,97,0, Real Madrid,La Liga,Spain
BEL,belgium (BEL),1054,2,DF,Toby Alderweireld,02/03/1989,33,124,5, Antwerp,First Division A,Belgium
BEL,belgium (BEL),1055,3,DF,Arthur Theate,25/05/2000,22,4,0, Rennes,Ligue 1,France
BEL,belgium (BEL),1056,4,DF,Wout Faes,03/04/1998,24,1,0, Leicester City,Premier League,England
BEL,belgium (BEL),1057,5,DF,Jan Vertonghen,24/04/1987,35,142,9, Anderlecht,First Division A,Belgium
BEL,belgium (BEL),1058,6,MF,Axel Witsel,12/01/1989,33,127,12, Atlético Madrid,La Liga,Spain
BEL,belgium (BEL),1059,7,MF,Kevin De Bruyne,28/06/1991,31,94,25, Manchester City,Premier League,England
BEL,belgium (BEL),1060,8,MF,Youri Tielemans,07/05/1997,25,55,5, Leicester City,Premier League,England
BEL,belgium (BEL),1061,9,FW,Romelu Lukaku,13/05/1993,29,102,68, Internazionale,Serie A,Italy
BEL,belgium (BEL),1062,10,FW,Eden Hazard ,07/01/1991,31,123,33, Real Madrid,La Liga,Spain
BEL,belgium (BEL),1063,11,FW,Yannick Carrasco,04/09/1993,29,60,8, Atlético Madrid,La Liga,Spain
BEL,belgium (BEL),1064,12,GK,Simon Mignolet,06/03/1988,34,35,0, Club Brugge,First Division A,Belgium
BEL,belgium (BEL),1065,13,GK,Koen Casteels,25/06/1992,30,4,0, VfL Wolfsburg,Bundesliga,Germany
BEL,belgium (BEL),1066,14,FW,Dries Mertens,06/05/1987,35,107,21, Galatasaray,Super Lig,Turkey
BEL,belgium (BEL),1067,15,MF,Thomas Meunier,12/09/1991,31,59,8, Borussia Dortmund,Bundesliga,Germany
BEL,belgium (BEL),1068,16,MF,Thorgan Hazard,29/03/1993,29,45,9, Borussia Dortmund,Bundesliga,Germany
BEL,belgium (BEL),1069,17,FW,Leandro Trossard,04/12/1994,27,21,5, Brighton & Hove Albion,Premier League,England
BEL,belgium (BEL),1070,18,MF,Amadou Onana,16/08/2001,21,2,0, Everton,Premier League,England
BEL,belgium (BEL),1071,19,DF,Leander Dendoncker,15/04/1995,27,29,1, Aston Villa,Premier League,England
BEL,belgium (BEL),1072,20,MF,Hans Vanaken,24/08/1992,30,23,5, Club Brugge,First Division A,Belgium
BEL,belgium (BEL),1073,21,MF,Timothy Castagne,05/12/1995,26,26,2, Leicester City,Premier League,England
BEL,belgium (BEL),1074,22,FW,Charles De Ketelaere,10/03/2001,21,10,1, Milan,Serie A,Italy
BEL,belgium (BEL),1075,23,FW,Michy Batshuayi,02/10/1993,29,48,26, Fenerbahçe,Super Lig,Turkey
BEL,belgium (BEL),1076,24,FW,Loïs Openda,16/02/2000,22,5,2, Lens,Ligue 1,France
BEL,belgium (BEL),1077,25,FW,Jérémy Doku,27/05/2002,20,11,2, Rennes,Ligue 1,France
BEL,belgium (BEL),1078,26,DF,Zeno Debast,24/10/2003,19,3,0, Anderlecht,First Division A,Belgium
BRA,brasil (BRA),1079,1,GK,Alisson,02/10/1992,30,57,0, Liverpool,Premier League,England
BRA,brasil (BRA),1080,2,DF,Danilo,15/07/1991,31,46,1, Juventus,Serie A,Italy
BRA,brasil (BRA),1081,3,DF,Thiago Silva ,22/09/1984,38,109,7, Chelsea,Premier League,England
BRA,brasil (BRA),1082,4,DF,Marquinhos,14/05/1994,28,71,5, Paris Saint-Germain,Ligue 1,France
BRA,brasil (BRA),1083,5,MF,Casemiro,23/02/1992,30,65,5, Manchester United,Premier League,England
BRA,brasil (BRA),1084,6,DF,Alex Sandro,26/01/1991,31,37,2, Juventus,Serie A,Italy
BRA,brasil (BRA),1085,7,MF,Lucas Paquetá,27/08/1997,25,35,7, West Ham United,Premier League,England
BRA,brasil (BRA),1086,8,MF,Fred,05/03/1993,29,28,0, Manchester United,Premier League,England
BRA,brasil (BRA),1087,9,FW,Richarlison,10/05/1997,25,38,17, Tottenham Hotspur,Premier League,England
BRA,brasil (BRA),1088,10,FW,Neymar,05/02/1992,30,121,75, Paris Saint-Germain,Ligue 1,France
BRA,brasil (BRA),1089,11,FW,Raphinha,14/12/1996,25,11,5, Barcelona,La Liga,Spain
BRA,brasil (BRA),1090,12,GK,Weverton,13/12/1987,34,8,0, Palmeiras,Brasilian Serie A,Brasil
BRA,brasil (BRA),1091,13,DF,Dani Alves,06/05/1983,39,124,8, UNAM,Liga MX,Mexico
BRA,brasil (BRA),1092,14,DF,Éder Militão,18/01/1998,24,23,1, Real Madrid,La Liga,Spain
BRA,brasil (BRA),1093,15,MF,Fabinho,23/10/1993,29,28,0, Liverpool,Premier League,England
BRA,brasil (BRA),1094,16,DF,Alex Telles,15/12/1992,29,8,0, Sevilla,La Liga,Spain
BRA,brasil (BRA),1095,17,MF,Bruno Guimarães,16/11/1997,25,8,1, Newcastle United,Premier League,England
BRA,brasil (BRA),1096,18,FW,Gabriel Jesus,03/04/1997,25,56,19, Arsenal,Premier League,England
BRA,brasil (BRA),1097,19,FW,Antony,24/02/2000,22,11,2, Manchester United,Premier League,England
BRA,brasil (BRA),1098,20,FW,Vinícius Júnior,12/07/2000,22,16,1, Real Madrid,La Liga,Spain
BRA,brasil (BRA),1099,21,FW,Rodrygo,09/01/2001,21,7,1, Real Madrid,La Liga,Spain
BRA,brasil (BRA),1100,22,MF,Éverton Ribeiro,10/04/1989,33,21,3, Flamengo,Brasilian Serie A,Brasil
BRA,brasil (BRA),1101,23,GK,Ederson,17/08/1993,29,18,0, Manchester City,Premier League,England
BRA,brasil (BRA),1102,24,DF,Bremer,18/03/1997,25,1,0, Juventus,Serie A,Italy
